Angle,X_pos,Y_pos
0,150,600
1,152,597
2,155,595
3,157,592
4,160,590
5,162,587
6,165,585
7,167,582
8,170,580
9,172,577
10,175,575
11,177,572
12,180,570
13,182,567
14,185,565
15,187,562
16,190,560
17,192,557
18,195,555
19,197,552
20,200,550
21,202,547
22,205,545
23,207,542
24,210,540
25,212,537
26,215,535
27,217,532
28,220,530
29,222,527
30,225,525
31,227,522
32,230,520
33,232,517
34,235,515
35,237,512
36,240,510
37,242,507
38,245,505
39,247,502
40,250,500
41,252,497
42,255,495
43,257,492
44,260,490
45,262,487
46,265,485
47,267,482
48,270,480
49,272,477
50,275,475
51,277,472
52,280,470
53,282,467
54,285,465
55,287,462
56,290,460
57,292,457
58,295,455
59,297,452
60,300,450
61,302,447
62,305,445
63,307,442
64,310,440
65,312,437
66,315,435
67,317,432
68,320,430
69,322,427
70,325,425
71,327,422
72,330,420
73,332,417
74,335,415
75,337,412
76,340,410
77,342,407
78,345,405
79,347,402
80,350,400
81,352,397
82,355,395
83,357,392
84,360,390
85,362,387
86,365,385
87,367,382
88,370,380
89,372,377
90,375,375
91,377,372
92,380,370
93,382,367
94,385,365
95,387,362
96,390,360
97,392,357
98,395,355
99,397,352
100,400,350
101,402,347
102,405,345
103,407,342
104,410,340
105,412,337
106,415,335
107,417,332
108,420,330
109,422,327
110,425,325
111,427,322
112,430,320
113,432,317
114,435,315
115,437,312
116,440,310
117,442,307
118,445,305
119,447,302
120,450,300
121,452,297
122,455,295
123,457,292
124,460,290
125,462,287
126,465,285
127,467,282
128,470,280
129,472,277
130,475,275
131,477,272
132,480,270
133,482,267
134,485,265
135,487,262
136,490,260
137,492,257
138,495,255
139,497,252
140,500,250
141,502,247
142,505,245
143,507,242
144,510,240
145,512,237
146,515,235
147,517,232
148,520,230
149,522,227
150,525,225
151,527,222
152,530,220
153,532,217
154,535,215
155,537,212
156,540,210
157,542,207
158,545,205
159,547,202
160,550,200
161,552,197
162,555,195
163,557,192
164,560,190
165,562,187
166,565,185
167,567,182
168,570,180
169,572,177
170,575,175
171,577,172
172,580,170
173,582,167
174,585,165
175,587,162
176,590,160
177,592,157
178,595,155
179,597,152
180,600,150