type,x_angle,y_angle,time_ms
B,0,180,325
B,1,179,337
B,2,178,349
B,3,177,361
B,4,176,372
B,5,175,385
B,6,174,396
B,7,173,408
B,8,172,419
B,9,171,432
B,10,170,443
B,11,169,455
B,12,168,467
B,13,167,479
B,14,166,491
B,15,165,502
B,16,164,515
B,17,163,526
B,18,162,538
B,19,161,550
B,20,160,562
B,21,159,574
B,22,158,585
B,23,157,598
B,24,156,609
B,25,155,621
B,26,154,633
B,27,153,645
B,28,152,657
B,29,151,668
B,30,150,680
B,31,149,692
B,32,148,704
B,33,147,716
B,34,146,728
B,35,145,740
B,36,144,751
B,37,143,763
B,38,142,775
B,39,141,787
B,40,140,799
B,41,139,811
B,42,138,823
B,43,137,834
B,44,136,846
B,45,135,858
B,46,134,870
B,47,133,882
B,48,132,893
B,49,131,906
B,50,130,917
B,51,129,929
B,52,128,942
B,53,127,953
B,54,126,965
B,55,125,976
B,56,124,989
B,57,123,1000
B,58,122,1012
B,59,121,1025
B,60,120,1036
B,61,119,1048
B,62,118,1059
B,63,117,1072
B,64,116,1084
B,65,115,1095
B,66,114,1107
B,67,113,1120
B,68,112,1131
B,69,111,1143
B,70,110,1155
B,71,109,1167
B,72,108,1179
B,73,107,1190
B,74,106,1203
B,75,105,1215
B,76,104,1226
B,77,103,1239
B,78,102,1250
B,79,101,1262
B,80,100,1274
B,81,99,1286
B,82,98,1298
B,83,97,1309
B,84,96,1321
B,85,95,1334
B,86,94,1345
B,87,93,1357
B,88,92,1369
B,89,91,1381
B,90,90,1392
B,91,89,1404
B,92,88,1417
B,93,87,1428
B,94,86,1440
B,95,85,1452
B,96,84,1464
B,97,83,1475
B,98,82,1487
B,99,81,1500
B,100,80,1511
B,101,79,1523
B,102,78,1534
B,103,77,1547
B,104,76,1559
B,105,75,1570
B,106,74,1583
B,107,73,1595
B,108,72,1606
B,109,71,1618
B,110,70,1630
B,111,69,1642
B,112,68,1654
B,113,67,1666
B,114,66,1678
B,115,65,1690
B,116,64,1701
B,117,63,1714
B,118,62,1725
B,119,61,1737
B,120,60,1750
B,121,59,1761
B,122,58,1773
B,123,57,1785
B,124,56,1797
B,125,55,1809
B,126,54,1820
B,127,53,1832
B,128,52,1845
B,129,51,1856
B,130,50,1868
B,131,49,1881
B,132,48,1892
B,133,47,1904
B,134,46,1915
B,135,45,1928
B,136,44,1940
B,137,43,1951
B,138,42,1964
B,139,41,1976
B,140,40,1987
B,141,39,1999
B,142,38,2011
B,143,37,2023
B,144,36,2035
B,145,35,2046
B,146,34,2059
B,147,33,2071
B,148,32,2082
B,149,31,2095
B,150,30,2106
B,151,29,2118
B,152,28,2130
B,153,27,2142
B,154,26,2154
B,155,25,2166
B,156,24,2178
B,157,23,2190
B,158,22,2201
B,159,21,2213
B,160,20,2226
B,161,19,2237
B,162,18,2249
B,163,17,2262
B,164,16,2273
B,165,15,2285
B,166,14,2296
B,167,13,2309
B,168,12,2321
B,169,11,2332
B,170,10,2344
B,171,9,2357
B,172,8,2368
B,173,7,2380
B,174,6,2392
B,175,5,2404
B,176,4,2415
B,177,3,2427
B,178,2,2440
B,179,1,2451
B,180,0,2463